[2025-04-25 07:50:18] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:50:45] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:51:03] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:51:20] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:51:30] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:52:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:53:05] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:53:16] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:53:53] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:54:14] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:54:25] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:54:42] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:54:54] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:55:06] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:55:18] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:55:31] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:55:42] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:56:06] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:56:17] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:56:41] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:56:52] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:57:06] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:57:21] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:57:32] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:58:58] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:59:19] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:59:29] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:59:40] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:59:56] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:59:57] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:00:07] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:00:07] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:00:22] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:03:34] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:03:44] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:05:50] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:07:08] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:07:55] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:09:10] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:11:18] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:11:28] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:13:38] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:16:02] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:17:59] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:18:09] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:20:22] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:21:19] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:28:09] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:28:26] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:30:31] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:30:42] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:30:57] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 08:31:08] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 09:01:39] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 09:16:01] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 09:17:15] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 09:19:06] Player 57 is NOT on boss tile, calling getMonsterList
[2025-04-25 09:19:17] Player 57 is NOT on boss tile, calling getMonsterList
[2025-04-25 09:19:27] Player 57 is NOT on boss tile, calling getMonsterList
[2025-04-25 10:13:45] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 10:13:56] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 10:16:35] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 10:26:27] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 13:32:12] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 13:32:23] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 13:34:07] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 13:34:48] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 14:15:53] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 15:05:38] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 15:05:47] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 16:46:49] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 17:05:38] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 17:05:55] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 18:12:13] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 18:22:25] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:08:04] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:08:15] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:08:25] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:08:37] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:09:05] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:21:51] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 04:22:11] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 05:42:22] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 05:42:34] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 05:53:36] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 06:01:53] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 14:19:25] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-26 14:40:00] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:06:46] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:19:34] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:19:48] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:20:01] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:20:13] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:22:11] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:23:02] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:23:12] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:23:59] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:25:07] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:25:18] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:25:46] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:25:57] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:26:07] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:28:39] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:31:56] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:32:06] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:32:37] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-27 04:32:57] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:33:08] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:34:15] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:35:37] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:35:53] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:39:26] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:42:36] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:44:56] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:45:07] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-27 04:45:21] Player 52 is NOT on boss tile, calling getMonsterList
